x;y
-135;128
-134;128
-127;128
-123;128
-119;128
-116;128
-108;128
-105;128
-101;128
-98;128
-94;128
-90;128
-83;128
-79;128
-76;128
-69;128
-65;128
-61;128
-58;128
-51;128
-47;128
-43;128
-40;128
-36;128
-29;128
-27;128
-30;128
-37;128
-45;128
-41;128
-37;128
-34;128
-26;128
-23;128
-19;128
-15;128
-8;128
-4;128
-1;128
1;128
1;128
1;128
1;128
4;128
9;128
11;128
14;128
16;128
16;128
16;128
16;128
16;128
19;128
23;128
30;128
37;128
41;128
44;128
51;128
54;128
57;128
61;128
71;128
75;128
80;128
85;128
89;128
96;128
102;128
109;128
115;128
118;128
125;128
128;128
