date;time;x;y;fx;fy
16/12/2022;10:28:53.148;120;-120;0;0
16/12/2022;10:28:53.211;120;-120;0;0
16/12/2022;10:28:53.273;120;-120;0;0
16/12/2022;10:28:53.320;120;-120;0;0
16/12/2022;10:28:53.383;120;-120;0;0
16/12/2022;10:28:53.445;120;-120;0;0
16/12/2022;10:28:53.508;120;-120;0;0
16/12/2022;10:28:53.570;120;-120;0;0
16/12/2022;10:28:53.633;120;-120;0;0
16/12/2022;10:28:53.695;120;-120;0;0
16/12/2022;10:28:53.758;120;-120;0;0
16/12/2022;10:28:53.820;120;-120;0;0
16/12/2022;10:28:53.883;120;-120;0;84
16/12/2022;10:28:53.945;120;-120;0;84
16/12/2022;10:28:54.008;120;-120;0;84
16/12/2022;10:28:54.070;120;-120;0;84
16/12/2022;10:28:54.148;120;-120;0;84
16/12/2022;10:28:54.212;120;-119;0;352
16/12/2022;10:28:54.273;120;-112;0;352
16/12/2022;10:28:54.336;120;-108;0;352
16/12/2022;10:28:54.399;120;-104;0;352
16/12/2022;10:28:54.461;120;-101;0;352
16/12/2022;10:28:54.524;120;-94;0;451
16/12/2022;10:28:54.586;120;-90;0;451
16/12/2022;10:28:54.648;120;-86;0;451
16/12/2022;10:28:54.711;120;-83;0;451
16/12/2022;10:28:54.773;120;-75;0;451
16/12/2022;10:28:54.836;120;-72;0;558
16/12/2022;10:28:54.898;120;-68;0;558
16/12/2022;10:28:54.961;120;-64;0;558
16/12/2022;10:28:55.023;120;-57;0;558
16/12/2022;10:28:55.086;120;-53;0;558
16/12/2022;10:28:55.148;120;-50;0;577
16/12/2022;10:28:55.211;120;-46;0;577
16/12/2022;10:28:55.273;120;-39;0;577
16/12/2022;10:28:55.336;120;-35;0;577
16/12/2022;10:28:55.398;120;-32;0;577
16/12/2022;10:28:55.461;120;-28;0;542
16/12/2022;10:28:55.524;120;-21;0;542
16/12/2022;10:28:55.586;120;-17;0;542
16/12/2022;10:28:55.649;120;-14;0;542
16/12/2022;10:28:55.711;120;-10;0;542
16/12/2022;10:28:55.773;120;-3;0;534
16/12/2022;10:28:55.836;120;0;0;534
16/12/2022;10:28:55.899;120;4;0;534
16/12/2022;10:28:55.962;120;7;0;534
16/12/2022;10:28:56.024;120;15;0;528
16/12/2022;10:28:56.086;120;18;0;528
16/12/2022;10:28:56.149;120;22;0;528
16/12/2022;10:28:56.211;120;25;0;528
16/12/2022;10:28:56.274;120;33;0;528
16/12/2022;10:28:56.337;120;36;0;564
16/12/2022;10:28:56.399;120;40;0;564
16/12/2022;10:28:56.462;120;44;0;564
16/12/2022;10:28:56.524;120;51;0;564
16/12/2022;10:28:56.587;120;54;0;564
16/12/2022;10:28:56.649;120;58;0;508
16/12/2022;10:28:56.713;120;62;0;508
16/12/2022;10:28:56.775;120;69;0;508
16/12/2022;10:28:56.837;120;73;0;508
