x;y
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-118
120;-114
120;-107
120;-103
120;-99
120;-96
120;-88
120;-85
120;-81
120;-77
120;-70
120;-66
120;-63
120;-59
120;-52
120;-48
120;-44
120;-41
120;-34
120;-30
120;-26
120;-23
120;-15
120;-12
120;-8
120;-4
120;2
120;5
120;9
120;13
120;20
120;24
120;27
120;31
120;38
120;42
120;45
120;48
120;55
120;58
120;61
120;65
120;71
120;75
120;78
120;81
120;86
120;88
120;91
120;94
120;100
120;103
120;106
120;110
120;116
120;119
120;121
120;124
120;129
120;130
120;130
120;130
