x;y
120;130
120;130
120;130
120;130
120;130
120;129
120;126
120;118
119;115
118;111
117;106
113;97
112;92
110;87
107;84
99;80
95;80
92;80
88;80
94;80
99;77
103;72
108;67
118;58
122;53
127;51
131;51
138;51
138;51
135;51
130;49
121;45
117;43
114;40
114;38
114;36
114;36
114;36
113;36
108;36
106;36
104;36
101;36
95;36
91;36
88;36
84;36
76;36
72;36
69;36
65;36
57;36
53;36
50;36
46;36
39;30
35;26
32;23
28;19
22;10
19;7
15;3
12;0
5;-6
2;-9
0;-13
-4;-16
-10;-23
-14;-26
-17;-30
-20;-33
-27;-40
-31;-44
-36;-48
-40;-53
-50;-62
-54;-67
-59;-72
-62;-75
-69;-82
-72;-85
-76;-89
-79;-92
-83;-101
-86;-105
-88;-109
-91;-113
-96;-120
-99;-123
-102;-126
-106;-127
-114;-127
-114;-127
-114;-127
-114;-127
-114;-130
-114;-130
-114;-130
-114;-130
-114;-130
