x;y
-131;-130
-131;-130
-131;-130
-131;-130
-131;-130
-129;-130
-125;-130
-122;-130
-118;-130
-111;-130
-109;-130
-109;-128
-109;-126
-109;-123
-109;-118
-109;-116
-106;-114
-103;-114
-101;-114
-98;-114
-96;-114
-93;-114
-93;-114
-93;-114
-93;-114
-91;-114
-88;-114
-85;-114
-81;-114
-75;-114
-73;-114
-73;-114
-73;-114
-73;-114
-73;-114
-72;-114
-68;-114
-61;-114
-58;-114
-54;-114
-50;-114
-50;-114
-50;-114
-50;-114
-50;-114
-47;-114
-43;-114
-39;-114
-36;-114
-32;-114
-28;-114
-28;-114
-28;-113
-28;-111
-28;-109
-25;-108
-17;-104
-12;-104
-7;-104
-2;-104
0;-104
2;-104
6;-104
8;-104
10;-104
11;-104
11;-104
11;-104
11;-104
11;-104
12;-104
15;-104
23;-104
26;-104
30;-104
33;-104
35;-104
39;-104
41;-102
43;-101
49;-98
53;-96
58;-95
62;-95
72;-95
75;-95
79;-95
83;-95
86;-95
90;-95
96;-95
99;-95
103;-95
105;-95
107;-95
110;-95
113;-95
120;-95
123;-95
126;-95
128;-95
128;-95
128;-95
128;-95
128;-95
